geoname_id	name	ascii_name	population	latitude	longitude	feature_code
12324551	Baitugang	Baitugang	8640	37.8293400	106.3404800	PPLF
13308647	Kaiping	Kaiping	8612	22.5720000	113.8857800	PPLA5
7373487	Wangmo	Wangmo	8503	33.8507400	105.6764100	PPLA4
1800945	Mayanhe	Mayanhe	8497	34.0725000	105.7369400	PPLA4
7372727	Yuhuang	Yuhuang	8468	33.2922700	105.2246700	PPLA4
13308626	Gangsha	Gangsha	8461	22.5358200	114.0664500	PPLA4
1786293	Yongning	Yongning	8460	24.6800000	118.6900000	PPL
1806627	Huotong	Huotong	8450	26.8497200	119.4180600	PPL
7373101	Longxing	Longxing	8410	33.5986400	105.1929000	PPLA4
1899335	Dahedian	Dahedian	8403	33.6533300	106.0497200	PPLA4
13308758	Lei Yue Mun	Lei Yue Mun	8372	22.5187200	113.8970800	PPL
12359303	Yanjia	Yanjia	8325	34.9230700	106.3738300	PPLA4
1790807	Xiabaishi	Xiabaishi	8320	26.8152800	119.6791700	PPL
13308749	Dalingxia	Dalingxia	8320	22.5433700	114.0042800	PPLA4
13308668	Keji yuan	Keji yuan	8249	22.5410200	113.9481800	PPL
13308723	Baishipai	Baishipai	8217	22.5327200	113.9072200	PPLX
1798614	Pingzhai	Pingzhai	8165	26.4166700	108.8166700	PPL
13308649	Anle	Anle	8120	22.5600300	113.8996200	PPLX
7343419	Zangbawa	Zangbawa	8063	34.8772500	103.8617000	PPLA4
13308655	Lingzhi Town	Lingzhi Town	8026	22.5655000	113.9033500	PPLX
7516842	Pangjia	Pangjia	7956	34.2872900	104.2808700	PPL
13308627	Futian Residential District	Futian Residential District	7923	22.5248400	114.0645900	PPLX
7432952	Yangyong	Yangyong	7849	34.6459000	103.4719800	PPLA4
1799922	Nanliang Nongchang	Nanliang Nongchang	7810	38.6666700	106.2000000	PPLF
8561617	Bailuquan	Bailuquan	7779	38.0709900	114.2694000	PPLA4
7343316	Shencang	Shencang	7770	34.7346500	103.3803500	PPLA4
1798078	Qidu	Qidu	7770	26.7652800	119.5472200	PPL
7372786	Wangba	Wangba	7752	33.3431300	105.6945800	PPL
1906076	Koujiang	Koujiang	7477	26.0433300	108.8625000	PPL
13308750	Beizhoushan	Beizhoushan	7403	22.5262900	113.9761800	PPL
1810705	Ganjia	Ganjia	7334	35.4012400	102.5164000	PPLA4
13308736	Liuxiangdong	Liuxiangdong	7329	22.5851900	113.9298000	PPL
7373227	Suyuan	Suyuan	7295	33.6734800	105.4527400	PPLA4
13308646	Hedong	Hedong	7291	22.5744400	113.8831400	PPLX
7446277	Nalang	Nalang	7275	34.5154000	103.7005200	PPLA4
1796883	Sangke	Sangke	7236	35.1119000	102.4274700	PPLA4
13308664	Xinwucun	Xinwucun	7231	22.5700100	113.9672000	PPLA4
1811224	Fengtai	Fengtai	7230	39.5580600	117.7491700	PPL
13308642	Southeast Gate	Southeast Gate	7215	22.5853200	113.8834200	PPLX
13308720	Niuwan	Niuwan	7210	22.5805000	113.8539900	PPL
7343319	Shimen	Shimen	7156	34.7360200	103.7014800	PPLA4
13308657	Fuhua	Fuhua	7127	22.5878300	113.8912400	PPLA5
7516858	Bali	Bali	7101	34.3061300	104.3691500	PPLA4
13308681	Ouzhou chengshi	Ouzhou chengshi	7100	22.5559100	113.9648900	PPL
13512504	Xihai Town	Xihai Town	7100	36.9546200	100.8995100	PPLA2
1817090	Bangjun	Bangjun	7052	39.9911100	117.2627800	PPL
1805482	Jinjing	Jinjing	6990	24.5750000	118.5972200	PPL
1538374	Kipekyüzi	Kipekyuezi	6972	43.9497300	81.3895100	PPLA4
13308704	Jiazhou	Jiazhou	6923	22.5712100	113.8954000	PPL
